Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC,0.1,0.001,linear,0.6416666666666666,0.6350953959450536,0.6766917293233082,0.6540346472464531,0.6861275325718877,0.5101490974426269,90.0,79.4,51.6,43.0
MFCC,0.1,0.001,rbf,0.5045454545454545,0.5041709874409495,1.0,0.6703635854769356,0.6497331114044653,1.0120543479919433,133.0,0.2,130.8,0.0
MFCC,0.1,0.01,linear,0.6416666666666666,0.6350953959450536,0.6766917293233082,0.6540346472464531,0.6861275325718877,0.5250975131988526,90.0,79.4,51.6,43.0
MFCC,0.1,0.01,rbf,0.6196969696969697,0.6139958221080949,0.6541353383458646,0.632431479637999,0.6698674166331859,0.9367266654968261,87.0,76.6,54.4,46.0
MFCC,0.1,0.1,linear,0.6416666666666666,0.6350953959450536,0.6766917293233082,0.6540346472464531,0.6861275325718877,0.5044915676116943,90.0,79.4,51.6,43.0
MFCC,0.1,0.1,rbf,0.5348484848484848,0.5212289097613854,0.9473684210526315,0.6723764090843869,0.6733685358434253,0.9988131523132324,126.0,15.2,115.8,7.0
MFCC,0.1,1.0,linear,0.6416666666666666,0.6350953959450536,0.6766917293233082,0.6540346472464531,0.6861275325718877,0.5071190357208252,90.0,79.4,51.6,43.0
MFCC,0.1,1.0,rbf,0.5037878787878788,0.5037878787878788,1.0,0.6700251889168766,0.49775010044194457,1.3850174427032471,133.0,0.0,131.0,0.0
MFCC,1.0,0.001,linear,0.6416666666666666,0.6342687523909254,0.6796992481203008,0.655180416144354,0.6851001549675716,1.2064783573150635,90.4,79.0,52.0,42.6
MFCC,1.0,0.001,rbf,0.6212121212121213,0.6200531957482428,0.6360902255639098,0.6274782273482364,0.672289502381909,0.9309038162231446,84.6,79.4,51.6,48.4
MFCC,1.0,0.01,linear,0.6416666666666666,0.6342687523909254,0.6796992481203008,0.655180416144354,0.6851001549675716,1.1939149856567384,90.4,79.0,52.0,42.6
MFCC,1.0,0.01,rbf,0.6439393939393939,0.6364934824830321,0.6827067669172932,0.6576692578968125,0.6978476726166561,0.8436296463012696,90.8,79.2,51.8,42.2
MFCC,1.0,0.1,linear,0.6416666666666666,0.6342687523909254,0.6796992481203008,0.655180416144354,0.6851001549675716,1.2111639499664306,90.4,79.0,52.0,42.6
MFCC,1.0,0.1,rbf,0.6363636363636364,0.644853619805012,0.6195488721804512,0.6307038406380124,0.6904494059576421,1.2956008434295654,82.4,85.6,45.4,50.6
MFCC,1.0,1.0,linear,0.6416666666666666,0.6342687523909254,0.6796992481203008,0.655180416144354,0.6851001549675716,1.5680713653564453,90.4,79.0,52.0,42.6
MFCC,1.0,1.0,rbf,0.5037878787878787,0.5038081753480993,0.993984962406015,0.6686834676516786,0.5270734087126212,1.4979186058044434,132.2,0.8,130.2,0.8
MFCC,10.0,0.001,linear,0.6416666666666667,0.6342775051773354,0.6796992481203008,0.6553360192207525,0.6848476152212593,7.974443006515503,90.4,79.0,52.0,42.6
MFCC,10.0,0.001,rbf,0.634090909090909,0.6268972339085015,0.675187969924812,0.6488878418465038,0.6878838317166963,0.8472368717193604,89.8,77.6,53.4,43.2
MFCC,10.0,0.01,linear,0.6416666666666667,0.6342775051773354,0.6796992481203008,0.6553360192207525,0.6848476152212593,8.06879825592041,90.4,79.0,52.0,42.6
MFCC,10.0,0.01,rbf,0.6318181818181817,0.6312684201512218,0.6526315789473685,0.6403341678578918,0.6789990242782528,0.9251029014587402,86.8,80.0,51.0,46.2
MFCC,10.0,0.1,linear,0.6416666666666667,0.6342775051773354,0.6796992481203008,0.6553360192207525,0.6848476152212593,7.957282781600952,90.4,79.0,52.0,42.6
MFCC,10.0,0.1,rbf,0.5954545454545455,0.6025203467213658,0.580451127819549,0.5906213489113118,0.6529874304080814,1.1404699325561523,77.2,80.0,51.0,55.8
MFCC,10.0,1.0,linear,0.6416666666666667,0.6342775051773354,0.6796992481203008,0.6553360192207525,0.6848476152212593,7.950470066070556,90.4,79.0,52.0,42.6
MFCC,10.0,1.0,rbf,0.5106060606060605,0.5073454750400415,0.9849624060150376,0.6697097418351462,0.5353211272455949,1.086933469772339,131.0,3.8,127.2,2.0
MFCC,100.0,0.001,linear,0.6409090909090909,0.6338106517693055,0.6781954887218045,0.6544198622070344,0.6850484991103714,59.36296744346619,90.2,79.0,52.0,42.8
MFCC,100.0,0.001,rbf,0.634090909090909,0.6304028007445881,0.6661654135338346,0.6466516505168075,0.6894048097342592,0.9487858772277832,88.6,78.8,52.2,44.4
MFCC,100.0,0.01,linear,0.6409090909090909,0.6338106517693055,0.6781954887218045,0.6544198622070344,0.6850484991103714,61.95510849952698,90.2,79.0,52.0,42.8
MFCC,100.0,0.01,rbf,0.5893939393939395,0.5918420545499786,0.6015037593984962,0.5958413840124633,0.631992194226023,1.804748296737671,80.0,75.6,55.4,53.0
MFCC,100.0,0.1,linear,0.6409090909090909,0.6338106517693055,0.6781954887218045,0.6544198622070344,0.6850484991103714,59.19966855049133,90.2,79.0,52.0,42.8
MFCC,100.0,0.1,rbf,0.5946969696969697,0.6011152670887302,0.5819548872180451,0.5908854476337357,0.6526200998679906,1.088661289215088,77.4,79.6,51.4,55.6
MFCC,100.0,1.0,linear,0.6409090909090909,0.6338106517693055,0.6781954887218045,0.6544198622070344,0.6850484991103714,64.98130216598511,90.2,79.0,52.0,42.8
MFCC,100.0,1.0,rbf,0.5106060606060605,0.5073454750400415,0.9849624060150376,0.6697097418351462,0.5353211272455949,1.0478619575500487,131.0,3.8,127.2,2.0
MFCC_DELTA,0.1,0.001,linear,0.6113636363636363,0.6052999631076488,0.6526315789473683,0.627213460573661,0.6679905871549103,0.8353630542755127,86.8,74.6,56.4,46.2
MFCC_DELTA,0.1,0.001,rbf,0.5053030303030303,0.5045570205875549,1.0,0.6707036954372987,0.6497618091029099,1.243397331237793,133.0,0.4,130.6,0.0
MFCC_DELTA,0.1,0.01,linear,0.6113636363636363,0.6052999631076488,0.6526315789473683,0.627213460573661,0.6679905871549103,0.6864460468292236,86.8,74.6,56.4,46.2
MFCC_DELTA,0.1,0.01,rbf,0.6204545454545455,0.6144389454023003,0.6571428571428571,0.6341675521180821,0.6689892670607817,1.5012577533721925,87.4,76.4,54.6,45.6
MFCC_DELTA,0.1,0.1,linear,0.6113636363636363,0.6052999631076488,0.6526315789473683,0.627213460573661,0.6679905871549103,0.6607219219207764,86.8,74.6,56.4,46.2
MFCC_DELTA,0.1,0.1,rbf,0.5143939393939394,0.5093455845568535,0.9834586466165414,0.6710938007140539,0.6713023015554151,1.2017780780792235,130.8,5.0,126.0,2.2
MFCC_DELTA,0.1,1.0,linear,0.6113636363636363,0.6052999631076488,0.6526315789473683,0.627213460573661,0.6679905871549103,0.8774096012115479,86.8,74.6,56.4,46.2
MFCC_DELTA,0.1,1.0,rbf,0.5037878787878788,0.5037878787878788,1.0,0.6700251889168766,0.4985019801411926,1.250632095336914,133.0,0.0,131.0,0.0
MFCC_DELTA,1.0,0.001,linear,0.6174242424242424,0.6151958238920998,0.6406015037593985,0.6267716120680751,0.6602881248923836,2.1118484497070313,85.2,77.8,53.2,47.8
MFCC_DELTA,1.0,0.001,rbf,0.6227272727272727,0.6235211267605634,0.6285714285714287,0.6252541452541452,0.6732422659702693,1.1216201305389404,83.6,80.8,50.2,49.4
MFCC_DELTA,1.0,0.01,linear,0.6174242424242424,0.6151958238920998,0.6406015037593985,0.6267716120680751,0.6602881248923836,2.0555823802948,85.2,77.8,53.2,47.8
MFCC_DELTA,1.0,0.01,rbf,0.6462121212121212,0.6372229622215598,0.6902255639097744,0.6617983912548533,0.6959134477414912,1.0769236087799072,91.8,78.8,52.2,41.2
MFCC_DELTA,1.0,0.1,linear,0.6174242424242424,0.6151958238920998,0.6406015037593985,0.6267716120680751,0.6602881248923836,2.5791085243225096,85.2,77.8,53.2,47.8
MFCC_DELTA,1.0,0.1,rbf,0.6363636363636364,0.6483333869946446,0.6090225563909775,0.6271020716841131,0.6889743442575905,1.5290762901306152,81.0,87.0,44.0,52.0
MFCC_DELTA,1.0,1.0,linear,0.6174242424242424,0.6151958238920998,0.6406015037593985,0.6267716120680751,0.6602881248923836,2.0447566986083983,85.2,77.8,53.2,47.8
MFCC_DELTA,1.0,1.0,rbf,0.5045454545454545,0.5041797283176594,0.9984962406015038,0.6700303034177653,0.5218446880560179,1.2766603469848632,132.8,0.4,130.6,0.2
MFCC_DELTA,10.0,0.001,linear,0.6075757575757577,0.6076740834690143,0.6240601503759399,0.61492951320982,0.6573265224129025,15.852284240722657,83.0,77.4,53.6,50.0
MFCC_DELTA,10.0,0.001,rbf,0.6325757575757576,0.6255949402575078,0.675187969924812,0.6485946424325233,0.6821328129484016,1.0360887050628662,89.8,77.2,53.8,43.2
MFCC_DELTA,10.0,0.01,linear,0.6075757575757577,0.6076740834690143,0.6240601503759399,0.61492951320982,0.6573265224129025,15.542448568344117,83.0,77.4,53.6,50.0
MFCC_DELTA,10.0,0.01,rbf,0.6333333333333334,0.630504781478064,0.6616541353383459,0.6442230936014919,0.6813063192331975,1.1062738418579101,88.0,79.2,51.8,45.0
MFCC_DELTA,10.0,0.1,linear,0.6075757575757577,0.6076740834690143,0.6240601503759399,0.61492951320982,0.6573265224129025,15.736384868621826,83.0,77.4,53.6,50.0
MFCC_DELTA,10.0,0.1,rbf,0.6098484848484849,0.6210231612858778,0.580451127819549,0.599350359666358,0.665585720025254,1.6377236366271972,77.2,83.8,47.2,55.8
MFCC_DELTA,10.0,1.0,linear,0.6075757575757577,0.6076740834690143,0.6240601503759399,0.61492951320982,0.6573265224129025,15.774890851974487,83.0,77.4,53.6,50.0
MFCC_DELTA,10.0,1.0,rbf,0.509848484848485,0.5068792727196929,0.9984962406015038,0.6724077248851209,0.5255122539172359,1.264185619354248,132.8,1.8,129.2,0.2
MFCC_DELTA,100.0,0.001,linear,0.6068181818181818,0.6060534036340488,0.6285714285714284,0.616160161863857,0.6573896573494805,138.9393249988556,83.6,76.6,54.4,49.4
MFCC_DELTA,100.0,0.001,rbf,0.6174242424242424,0.616024292237835,0.6406015037593985,0.6270497491318917,0.6670550421856168,1.108577299118042,85.2,77.8,53.2,47.8
MFCC_DELTA,100.0,0.01,linear,0.6068181818181818,0.6060534036340488,0.6285714285714284,0.616160161863857,0.6573896573494805,133.0635190963745,83.6,76.6,54.4,49.4
MFCC_DELTA,100.0,0.01,rbf,0.5916666666666668,0.5946620350295968,0.5999999999999999,0.5967829405486522,0.6175228146702634,1.811895227432251,79.8,76.4,54.6,53.2
MFCC_DELTA,100.0,0.1,linear,0.6068181818181818,0.6060534036340488,0.6285714285714284,0.616160161863857,0.6573896573494805,133.3233160018921,83.6,76.6,54.4,49.4
MFCC_DELTA,100.0,0.1,rbf,0.6143939393939394,0.626431474829029,0.5834586466165413,0.603469043192707,0.6643172817540034,1.265492820739746,77.6,84.6,46.4,55.4
MFCC_DELTA,100.0,1.0,linear,0.6068181818181818,0.6060534036340488,0.6285714285714284,0.616160161863857,0.6573896573494805,134.8889967918396,83.6,76.6,54.4,49.4
MFCC_DELTA,100.0,1.0,rbf,0.509848484848485,0.5068792727196929,0.9984962406015038,0.6724077248851209,0.5255122539172359,1.2600412845611573,132.8,1.8,129.2,0.2
MFCC_DELTA_DELTA,0.1,0.001,linear,0.621969696969697,0.6183981972149258,0.6511278195488722,0.6337376370504393,0.6709349710153246,0.6716399192810059,86.6,77.6,53.4,46.4
MFCC_DELTA_DELTA,0.1,0.001,rbf,0.5068181818181818,0.5053379953379953,1.0,0.6713891078765039,0.6478161051483672,1.3132651329040528,133.0,0.8,130.2,0.0
MFCC_DELTA_DELTA,0.1,0.01,linear,0.621969696969697,0.6183981972149258,0.6511278195488722,0.6337376370504393,0.6709349710153246,0.6630987167358399,86.6,77.6,53.4,46.4
MFCC_DELTA_DELTA,0.1,0.01,rbf,0.6212121212121213,0.6159718628409331,0.6541353383458646,0.6335106180027343,0.6682603455202892,1.2318115711212159,87.0,77.0,54.0,46.0
MFCC_DELTA_DELTA,0.1,0.1,linear,0.621969696969697,0.6183981972149258,0.6511278195488722,0.6337376370504393,0.6709349710153246,0.7226541996002197,86.6,77.6,53.4,46.4
MFCC_DELTA_DELTA,0.1,0.1,rbf,0.5083333333333334,0.5061605772552547,0.9909774436090226,0.6700570227399429,0.666693451185215,1.1903550624847412,131.8,2.4,128.6,1.2
MFCC_DELTA_DELTA,0.1,1.0,linear,0.621969696969697,0.6183981972149258,0.6511278195488722,0.6337376370504393,0.6709349710153246,0.7472707748413085,86.6,77.6,53.4,46.4
MFCC_DELTA_DELTA,0.1,1.0,rbf,0.5037878787878788,0.5037878787878788,1.0,0.6700251889168766,0.4985019801411926,1.339328145980835,133.0,0.0,131.0,0.0
MFCC_DELTA_DELTA,1.0,0.001,linear,0.6287878787878787,0.6296202976227854,0.6406015037593985,0.6342250438653061,0.6578775182230385,2.2499080181121824,85.2,80.8,50.2,47.8
MFCC_DELTA_DELTA,1.0,0.001,rbf,0.6204545454545454,0.6221497299036132,0.6225563909774436,0.6214938352457843,0.6743442575905412,1.1968809604644775,82.8,81.0,50.0,50.2
MFCC_DELTA_DELTA,1.0,0.01,linear,0.6287878787878787,0.6296202976227854,0.6406015037593985,0.6342250438653061,0.6578775182230385,2.164729690551758,85.2,80.8,50.2,47.8
MFCC_DELTA_DELTA,1.0,0.01,rbf,0.6424242424242423,0.6343850170133023,0.6827067669172933,0.6566103445703836,0.6943580324857945,1.06791033744812,90.8,78.8,52.2,42.2
MFCC_DELTA_DELTA,1.0,0.1,linear,0.6287878787878787,0.6296202976227854,0.6406015037593985,0.6342250438653061,0.6578775182230385,2.2456128120422365,85.2,80.8,50.2,47.8
MFCC_DELTA_DELTA,1.0,0.1,rbf,0.6265151515151515,0.6380640459384246,0.5984962406015037,0.6165104691948471,0.6845778568558801,1.2664324283599853,79.6,85.8,45.2,53.4
MFCC_DELTA_DELTA,1.0,1.0,linear,0.6287878787878787,0.6296202976227854,0.6406015037593985,0.6342250438653061,0.6578775182230385,2.2484418392181396,85.2,80.8,50.2,47.8
MFCC_DELTA_DELTA,1.0,1.0,rbf,0.5037878787878788,0.503793661808929,0.9984962406015038,0.6696910372094507,0.514228318888825,1.2636725425720214,132.8,0.2,130.8,0.2
MFCC_DELTA_DELTA,10.0,0.001,linear,0.6295454545454546,0.6344039641875862,0.6255639097744361,0.628750424011541,0.6564139356023647,20.51742377281189,83.2,83.0,48.0,49.8
MFCC_DELTA_DELTA,10.0,0.001,rbf,0.628030303030303,0.6220212038303694,0.6661654135338345,0.6427095710109519,0.6794294897549217,1.028204345703125,88.6,77.2,53.8,44.4
MFCC_DELTA_DELTA,10.0,0.01,linear,0.6295454545454546,0.6344039641875862,0.6255639097744361,0.628750424011541,0.6564139356023647,20.397793674468993,83.2,83.0,48.0,49.8
MFCC_DELTA_DELTA,10.0,0.01,rbf,0.6204545454545455,0.6212255716735922,0.6375939849624059,0.6284484568066979,0.677122194799977,1.0976531982421875,84.8,79.0,52.0,48.2
MFCC_DELTA_DELTA,10.0,0.1,linear,0.6295454545454546,0.6344039641875862,0.6255639097744361,0.628750424011541,0.6564139356023647,20.479281854629516,83.2,83.0,48.0,49.8
MFCC_DELTA_DELTA,10.0,0.1,rbf,0.6060606060606061,0.6198363658812617,0.5639097744360902,0.5898625010951664,0.6622453079263043,1.2670059680938721,75.0,85.0,46.0,58.0
MFCC_DELTA_DELTA,10.0,1.0,linear,0.6295454545454546,0.6344039641875862,0.6255639097744361,0.628750424011541,0.6564139356023647,22.076367139816284,83.2,83.0,48.0,49.8
MFCC_DELTA_DELTA,10.0,1.0,rbf,0.5083333333333334,0.5061099066956322,0.9969924812030075,0.6713924441047834,0.5201572633874763,1.279864501953125,132.6,1.6,129.4,0.4
MFCC_DELTA_DELTA,100.0,0.001,linear,0.6265151515151515,0.6321711936149892,0.6195488721804512,0.6245551476804657,0.6578029042070825,168.39084033966066,82.4,83.0,48.0,50.6
MFCC_DELTA_DELTA,100.0,0.001,rbf,0.615909090909091,0.6181221460450843,0.6240601503759399,0.6202252815224936,0.6649084543419618,1.170598030090332,83.0,79.6,51.4,50.0
MFCC_DELTA_DELTA,100.0,0.01,linear,0.6265151515151515,0.6321711936149892,0.6195488721804512,0.6245551476804657,0.6578029042070825,166.44220833778382,82.4,83.0,48.0,50.6
MFCC_DELTA_DELTA,100.0,0.01,rbf,0.5833333333333334,0.5855929065927241,0.5924812030075188,0.5885135310780508,0.6171727027492395,1.800536584854126,78.8,75.2,55.8,54.2
MFCC_DELTA_DELTA,100.0,0.1,linear,0.6265151515151515,0.6321711936149892,0.6195488721804512,0.6245551476804657,0.6578029042070825,165.46552801132202,82.4,83.0,48.0,50.6
MFCC_DELTA_DELTA,100.0,0.1,rbf,0.6037878787878788,0.6166417165255864,0.5639097744360902,0.5884188955512878,0.6607874648453194,1.2692885875701905,75.0,84.4,46.6,58.0
MFCC_DELTA_DELTA,100.0,1.0,linear,0.6265151515151515,0.6321711936149892,0.6195488721804512,0.6245551476804657,0.6578029042070825,165.06818189620972,82.4,83.0,48.0,50.6
MFCC_DELTA_DELTA,100.0,1.0,rbf,0.5083333333333334,0.5061099066956322,0.9969924812030075,0.6713924441047834,0.5201572633874763,1.2429008483886719,132.6,1.6,129.4,0.4
