Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC,0.1,0.001,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6799760879270723,0.1222679615020752,87.2,78.0,52.8,45.6
MFCC,0.1,0.001,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.5082989864026425,0.22341303825378417,132.8,0.0,130.8,0.0
MFCC,0.1,0.01,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6798265949933285,0.11880974769592285,87.2,78.0,52.8,45.6
MFCC,0.1,0.01,rbf,0.619106463878327,0.6126586674462938,0.658008658008658,0.6339902828157318,0.6695001268986805,0.21816601753234863,87.4,75.8,55.0,45.4
MFCC,0.1,0.1,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6799531297683166,0.11938309669494629,87.2,78.0,52.8,45.6
MFCC,0.1,0.1,rbf,0.5402148865076623,0.5247589040882618,0.9337548416495786,0.6716203615188546,0.6678165934775014,0.22243003845214843,124.0,18.4,112.4,8.8
MFCC,0.1,1.0,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6798675129611248,0.11881442070007324,87.2,78.0,52.8,45.6
MFCC,0.1,1.0,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.41789071916432297,0.23204646110534669,132.8,0.0,130.8,0.0
MFCC,1.0,0.001,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6811657653983889,0.30966553688049314,88.8,79.0,51.8,44.0
MFCC,1.0,0.001,rbf,0.6228914621500172,0.6216420430774193,0.6369218500797448,0.6288861986274085,0.6701279703288543,0.2120657444000244,84.6,79.6,51.2,48.2
MFCC,1.0,0.01,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6810672801150905,0.3098600387573242,88.8,79.0,51.8,44.0
MFCC,1.0,0.01,rbf,0.6509851365364673,0.6430205125528472,0.6912622465254044,0.6659628736952157,0.6990059291184241,0.20389537811279296,91.8,79.8,51.0,41.0
