Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC,0.1,0.001,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6800224383892524,0.24782299995422363,87.2,78.0,52.8,45.6
MFCC,0.1,0.001,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.6104876173779348,0.45395660400390625,132.8,0.0,130.8,0.0
MFCC,0.1,0.01,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6800224383892524,0.24576997756958008,87.2,78.0,52.8,45.6
MFCC,0.1,0.01,rbf,0.619106463878327,0.6126586674462938,0.658008658008658,0.6339902828157318,0.6694480750266206,0.4623552799224854,87.4,75.8,55.0,45.4
MFCC,0.1,0.1,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6800224383892524,0.24939732551574706,87.2,78.0,52.8,45.6
MFCC,0.1,0.1,rbf,0.5402148865076623,0.5247589040882618,0.9337548416495786,0.6716203615188546,0.6661937125416435,0.4630168914794922,124.0,18.4,112.4,8.8
MFCC,0.1,1.0,linear,0.6266879824864615,0.6224747437165862,0.6565162907268169,0.638322077230327,0.6800224383892524,0.24537439346313478,87.2,78.0,52.8,45.6
MFCC,0.1,1.0,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.4763064536909455,0.4787887096405029,132.8,0.0,130.8,0.0
MFCC,1.0,0.001,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6811073264488291,0.5884090900421143,88.8,79.0,51.8,44.0
MFCC,1.0,0.001,rbf,0.6228914621500172,0.6216420430774193,0.6369218500797448,0.6288861986274085,0.6701798442618049,0.5975082397460938,84.6,79.6,51.2,48.2
MFCC,1.0,0.01,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6811073264488291,0.6848749637603759,88.8,79.0,51.8,44.0
